City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Gornopravdinsk,100,RU,1618515746,88,60.05,69.9,39.69,8.93
Iqaluit,75,CA,1618515746,72,63.7506,-68.5145,6.8,20.71
Puro,100,PH,1618515746,84,12.4841,123.3827,79.47,8.68
Havøysund,75,NO,1618515747,81,70.9963,24.6622,37.4,21.85
Weihe,100,CN,1618515747,61,32.9952,105.3247,48.06,1.97
Katsuura,75,JP,1618515578,66,35.1333,140.3,52.0,9.22
Lucapa,42,AO,1618515748,93,-8.4192,20.7447,65.64,3.42
Chekhov,100,RU,1618515748,77,55.1431,37.4711,55.99,11.23
Dauphin,90,CA,1618515748,60,51.1494,-100.0502,35.6,4.61
San Nicolas,9,PH,1618515749,79,18.1725,120.5953,77.86,4.47
Magaria,72,NE,1618515749,7,12.9983,8.9099,84.4,7.52
Alanya,0,TR,1618515554,88,36.5438,31.9998,57.2,3.44
Narsaq,75,GL,1618515749,44,60.9167,-46.05,35.6,14.97
Kintinku,20,TZ,1618515750,83,-5.8833,35.2333,69.8,9.22
Carnarvon,0,AU,1618515750,29,-24.8667,113.6333,73.94,15.39
Monterey,1,US,1618515750,51,36.2505,-121.2516,69.01,5.37
Saint George,20,US,1618515751,16,37.1041,-113.5841,68.0,19.57
Talcahuano,0,CL,1618515662,60,-36.7167,-73.1167,69.8,9.22
Nobeoka,51,JP,1618515751,76,32.5833,131.6667,46.99,1.99
Vardø,75,NO,1618515569,86,70.3705,31.1107,30.2,5.75
Kahului,20,US,1618515522,61,20.8947,-156.47,78.8,16.11
Kano,0,NG,1618515752,23,12.0001,8.5167,86.0,2.3
Dehui,0,CN,1618515752,21,44.5333,125.7,48.2,13.42
Kampong Thom,25,KH,1618515753,72,12.7111,104.8887,81.86,5.35
Nanortalik,28,GL,1618515541,73,60.1432,-45.2371,27.77,40.09
Margate,20,GB,1618515753,69,51.3813,1.3862,46.99,4.0
Pevek,100,RU,1618515754,77,69.7008,170.3133,18.99,23.02
Qena,0,EG,1618515754,22,26.1615,32.7183,80.6,3.44
Cabo San Lucas,20,MX,1618515581,44,22.8909,-109.9124,84.0,9.22
Trairi,100,BR,1618515673,79,-3.2778,-39.2689,81.19,10.96
Shache,100,CN,1618515755,33,38.4167,77.2406,61.09,14.54
Nianzishan,100,CN,1618515755,82,47.5167,122.8833,39.24,12.08
Mońki,100,PL,1618515755,89,53.405,22.7979,41.0,10.58
Bembèrèkè,85,BJ,1618515756,19,10.2283,2.6634,92.59,3.15
Wardenburg,0,DE,1618515756,61,53.0667,8.2,42.8,8.05
Tiznit Province,100,MA,1618515756,86,29.5833,-9.5,57.15,13.89
Talnakh,100,RU,1618515757,93,69.4865,88.3972,-6.52,21.41
Mackay,2,AU,1618515757,94,-21.15,149.2,64.4,5.75
Owando,99,CG,1618515757,93,-0.4819,15.8999,71.96,5.03
Piaçabuçu,100,BR,1618515758,80,-10.4056,-36.4344,78.48,7.02
San Patricio,90,US,1618515758,100,28.017,-97.5169,73.0,19.57
St. George's,75,GD,1618515460,70,12.0564,-61.7485,86.0,21.85
Bambanglipuro,96,ID,1618515705,87,-7.95,110.2833,75.92,2.3
Acapulco de Juárez,40,MX,1618515756,66,16.8634,-99.8901,86.0,10.36
Tuktoyaktuk,90,CA,1618515543,93,69.4541,-133.0374,19.4,17.27
Lagoa,35,PT,1618515665,80,39.05,-27.9833,62.89,4.61
Mirny,100,RU,1618515759,86,62.5353,113.9611,21.43,11.18
Kungurtug,12,RU,1618515759,89,50.5994,97.5228,15.35,2.28
Teguise,20,ES,1618515760,64,29.0605,-13.564,69.8,11.5
Saint Paul Harbor,90,US,1618515683,87,57.79,-152.4072,37.4,8.05
Kruisfontein,100,ZA,1618515760,84,-34.0033,24.7314,64.99,1.99
College,75,US,1618515760,60,64.8569,-147.8028,42.8,1.61
Scarborough,0,GB,1618515761,79,54.2797,-0.4044,41.0,1.01
Quepos,75,CR,1618515761,94,9.4236,-84.1652,71.6,5.75
Matara,98,LK,1618515761,87,5.9485,80.5353,77.61,4.05
Alihe,100,CN,1618515762,68,50.5667,123.7167,31.71,8.37
Fukuechō,100,JP,1618515762,80,32.6881,128.8419,60.31,16.91
Gilgit,100,PK,1618515762,87,35.9221,74.3087,53.76,3.65
Kurumkan,43,RU,1618515763,78,54.3,110.3,24.55,4.83
Arlit,4,NE,1618515763,6,18.7369,7.3853,88.59,3.67
Ilulissat,75,GL,1618515763,67,69.2167,-51.1,12.2,9.22
Masvingo,0,ZW,1618515764,66,-20.0637,30.8277,60.08,4.72
Henties Bay,37,NA,1618515764,52,-22.116,14.2845,76.73,4.9
Bubaque,43,GW,1618515711,73,11.2833,-15.8333,77.45,17.52
Bengkulu,100,ID,1618515745,90,-3.8004,102.2655,73.72,5.32
Nelson Bay,11,AU,1618515765,77,-32.7167,152.15,60.01,6.91
Bahía Honda,5,CU,1618515765,46,22.9036,-83.1592,87.19,5.93
Sept-Îles,20,CA,1618515765,46,50.2001,-66.3821,46.99,16.11
Nizhniy Lomov,100,RU,1618515766,60,53.5304,43.6766,55.6,6.06
Forsytheganj,63,BY,1618515675,94,52.6333,29.7333,44.82,6.11
Morondava,46,MG,1618515766,82,-20.2833,44.2833,78.55,9.19
Gladstone,5,AU,1618515767,88,-23.85,151.25,64.4,6.91
Port Moresby,75,PG,1618515767,100,-9.4431,147.1797,75.2,3.44
Hasaki,20,JP,1618515526,93,35.7333,140.8333,41.0,5.75
Saint-Philippe,0,RE,1618515768,78,-21.3585,55.7679,77.0,5.75
Seoul,90,KR,1618515768,53,37.5683,126.9778,50.0,2.3
Krasnosel'kup,100,RU,1618515768,90,65.7,82.4667,7.14,18.99
Auburn,1,US,1618515769,37,47.3073,-122.2284,73.0,5.75
Cayenne,75,GF,1618515740,78,4.9333,-52.3333,82.4,11.5
Kourou,75,GF,1618515769,78,5.1552,-52.6478,82.4,11.5
Zacatepec,75,MX,1618515770,20,18.65,-99.2,96.01,3.6
Salinas,1,US,1618515770,51,36.6777,-121.6555,64.99,8.7
Charter Township of Clinton,75,US,1618515493,93,42.587,-82.9199,46.99,12.66
Labuhan,86,ID,1618515771,87,-6.8844,112.2051,76.75,5.37
Beckley,90,US,1618515771,53,37.7782,-81.1882,57.2,17.27
Yeppoon,4,AU,1618515771,88,-23.1333,150.7333,62.6,4.09
Fort Nelson,40,CA,1618515772,43,58.8053,-122.7002,51.8,2.04
Alofi,23,NU,1618515642,88,-19.0595,-169.9187,75.2,1.14
Bogorodskoye,100,RU,1618515673,86,56.55,37.8833,46.13,14.92
Tateyama,100,JP,1618515772,74,34.9833,139.8667,52.0,8.08
Kushmurun,0,KZ,1618515773,43,52.4503,64.6311,49.6,3.58
Natal,40,BR,1618515773,74,-5.795,-35.2094,84.2,19.57
Tautira,40,PF,1618515773,70,-17.7333,-149.15,86.0,16.11
Roswell,1,US,1618515098,32,34.0232,-84.3616,70.0,13.8
Vestmanna,73,FO,1618515774,100,62.1564,-7.1664,44.6,16.11
Simi,69,SL,1618515774,60,9.5667,-12.35,84.94,8.05
Longyearbyen,75,SJ,1618515774,68,78.2186,15.6401,23.0,14.97
Hashtgerd,0,IR,1618515775,23,35.9642,50.6858,59.0,6.91
Alamosa,20,US,1618515775,12,37.4695,-105.87,59.0,26.46
Tiarei,40,PF,1618515775,70,-17.5333,-149.3333,86.0,16.11
Bathsheba,75,BB,1618515776,61,13.2167,-59.5167,84.2,17.27
Nichinan,83,JP,1618515776,68,31.6,131.3667,57.54,5.1
Hailar,100,CN,1618515776,84,49.2,119.7,28.58,16.98
San Cristobal,40,VE,1618515777,58,7.7669,-72.225,87.8,9.22
Dudinka,100,RU,1618515777,92,69.4058,86.1778,-12.12,19.26
Yichang,100,CN,1618515777,69,30.7144,111.2847,63.0,1.01
Hamilton,75,US,1618515778,40,39.1834,-84.5333,55.0,12.66
Balabac,100,PH,1618515778,80,7.9868,117.0645,80.01,6.24
Opole Voivodeship,100,PL,1618515780,99,50.5,18.0,33.01,8.01
Goderich,100,CA,1618515780,93,43.7501,-81.7165,37.4,11.5
Yerofey Pavlovich,96,RU,1618515780,88,53.9667,121.9667,20.43,4.03
Nishihara,75,JP,1618515781,88,26.1842,127.7558,68.0,10.36
Kitimat,84,CA,1618515781,52,54.0524,-128.6534,63.0,2.66
Vao,100,NC,1618515781,83,-22.6667,167.4833,74.88,19.93
Kangaatsiaq,100,GL,1618515782,81,68.3065,-53.4641,6.03,19.22
Solingen,20,DE,1618515782,56,51.1833,7.0833,45.0,3.44
São Filipe,0,CV,1618515627,73,14.8961,-24.4956,73.45,16.96
Mpika,63,ZM,1618515486,85,-11.8343,31.4529,59.02,5.28
Dejen,100,ET,1618515783,54,10.1667,38.1333,62.74,1.9
Meadow Lake,20,US,1618515783,13,34.8014,-106.5436,73.99,12.66
Hay River,59,CA,1618515645,35,60.8156,-115.7999,53.6,10.36
Ilhabela,49,BR,1618515783,68,-23.7781,-45.3581,75.33,9.82
Clyde River,20,CA,1618515656,72,70.4692,-68.5914,6.8,25.32
Saskylakh,95,RU,1618515557,100,71.9167,114.0833,-13.85,5.64
Vallenar,75,CL,1618515540,34,-28.5708,-70.7581,81.57,8.3
Chapais,20,CA,1618515784,17,49.7834,-74.8492,62.6,12.66
Ndélé,5,CF,1618515784,10,8.4109,20.6473,81.63,3.69
Belyy Yar,0,RU,1618515785,75,53.6039,91.3903,37.4,4.47
Aksu,96,CN,1618515785,28,41.1231,80.2644,60.82,3.78
Cap Malheureux,78,MU,1618515785,86,-19.9842,57.6142,78.01,5.99
Davila,11,PH,1618515786,82,18.4726,120.5763,79.05,13.27
Boundiali,38,CI,1618515786,47,9.5217,-6.4869,82.6,2.01
Port Keats,20,AU,1618515786,73,-14.25,129.55,74.43,2.68
Puerto del Rosario,40,ES,1618515711,60,28.5004,-13.8627,69.8,17.27
Ngunguru,9,NZ,1618515787,96,-35.6167,174.5,55.0,1.99
Shellbrook,20,CA,1618515787,21,53.2168,-106.4011,57.2,10.36
Abadan,3,TM,1618515788,45,38.0507,58.2056,62.6,4.61
Wattegama,40,LK,1618515788,100,6.7989,81.4808,77.0,2.3
Inhambane,0,MZ,1618515788,83,-23.865,35.3833,71.6,5.84
Melfi,75,IT,1618515789,87,40.9965,15.6514,41.0,12.66
Lixouri,95,GR,1618515789,63,38.2019,20.4314,54.7,12.82
Brae,100,GB,1618515789,76,60.3964,-1.353,44.6,8.05
Nouadhibou,0,MR,1618515789,68,20.931,-17.0347,69.8,21.85
Belaya Gora,100,RU,1618515790,100,68.5333,146.4167,-14.57,1.39
Mareeba,90,AU,1618515790,83,-17.0,145.4333,71.6,2.13
Kulhudhuffushi,43,MV,1618515790,72,6.6221,73.07,83.1,4.97
Nikolayevka,100,RU,1618515791,60,53.1257,47.2041,54.7,3.33
Road Town,20,VG,1618515791,54,18.4167,-64.6167,82.4,8.05
Kostomuksha,7,RU,1618515791,93,64.571,30.5767,29.95,4.79
Imbituba,40,BR,1618515792,54,-28.24,-48.6703,80.6,11.5
Kavaratti,4,IN,1618515792,71,10.5669,72.642,83.95,6.69
Kasamwa,58,TZ,1618515792,85,-2.85,32.4333,64.09,3.04
Catia La Mar,40,VE,1618515793,66,10.6038,-67.0303,87.8,3.44
Portland,20,US,1618515018,32,45.5234,-122.6762,71.01,4.61
Maragogi,100,BR,1618515793,89,-9.0122,-35.2225,74.84,3.91
Oniceni,75,RO,1618515794,70,46.8167,27.15,45.0,6.91
Constitución,6,CL,1618515656,62,-35.3333,-72.4167,66.63,14.45
Tortolì,20,IT,1618515794,67,39.9256,9.6572,55.4,5.75
Cidreira,100,BR,1618515795,69,-30.1811,-50.2056,73.29,13.04
Deputatsky,91,RU,1618515795,95,69.3,139.9,-16.8,4.59
Torbay,90,CA,1618515795,100,47.6666,-52.7314,34.0,16.11
Opuwo,99,NA,1618515796,58,-18.0607,13.84,70.41,1.48
Palmer,90,US,1618515796,93,42.1584,-72.3287,48.2,10.36
Mīrābād,73,AF,1618515796,34,30.4362,61.8383,73.22,8.93
Egvekinot,100,RU,1618515797,95,66.3167,-179.1667,6.21,6.02
Beringovskiy,100,RU,1618515666,93,63.05,179.3167,26.24,12.68
Gushikawa,75,JP,1618515635,83,26.3544,127.8686,68.0,3.44
Khotyn,100,UA,1618515797,83,48.4833,26.5,39.99,5.01
Arrondissement de Bastia,90,FR,1618515798,81,42.6667,9.3333,52.0,3.44
Grindavik,90,IS,1618515798,100,63.8424,-22.4338,46.4,29.93
Itzehoe,51,DE,1618515798,66,53.921,9.5153,41.0,6.35
Pisco,0,PE,1618515799,78,-13.7,-76.2167,69.8,10.36
Le Vauclin,75,MQ,1618515799,66,14.5452,-60.8388,86.0,14.97
Tākestān,0,IR,1618515799,76,36.0696,49.6959,48.2,8.79
Bilma,7,NE,1618515800,6,18.6853,12.9164,88.34,9.57
Port Hardy,1,CA,1618515640,66,50.6996,-127.4199,50.0,5.75
Portree,8,GB,1618515800,49,57.4129,-6.1942,46.99,11.99
Kichera,100,RU,1618515801,85,55.9375,110.0997,17.02,2.57
Bose,92,IT,1618515801,80,45.4612,8.0137,44.01,4.0
Humberto de Campos,87,BR,1618515801,77,-2.5983,-43.4611,82.09,7.02
Lázaro Cárdenas,0,MX,1618515657,48,17.9583,-102.2,85.51,11.36
Rome,90,US,1618515802,81,43.2128,-75.4557,42.8,10.36
Barreirinha,100,BR,1618515802,73,-2.7933,-57.07,84.61,2.95
Ust'-Karsk,100,RU,1618515802,79,52.7011,118.8077,25.25,4.07
Farafangana,18,MG,1618515803,88,-22.8167,47.8333,74.79,6.53
Bethel,100,US,1618515803,96,41.3712,-73.414,50.0,1.01
Aklavik,90,CA,1618515803,73,68.2191,-135.0107,19.4,11.5
Balaipungut,100,ID,1618515804,98,1.05,101.2833,74.34,2.89
Verāval,0,IN,1618515804,76,20.9,70.3667,78.55,12.48
Kholodnyy,100,RU,1618515543,100,62.7167,147.95,-8.5,0.29
Derzhavīnsk,0,KZ,1618515805,51,51.1,66.3167,47.8,6.35
Srednekolymsk,100,RU,1618515698,94,67.45,153.6833,7.61,5.03
Great Yarmouth,29,GB,1618515805,81,52.6083,1.7305,42.8,4.61
Neiafu,20,TO,1618515806,94,-18.65,-173.9833,69.8,5.55
Husavik,40,IS,1618515806,66,66.0449,-17.3389,50.0,24.16
Ada,1,US,1618515806,35,43.4166,-116.1262,55.99,4.61
Broome,90,US,1618515807,93,42.2506,-75.833,45.0,10.36
Manta,98,EC,1618515807,70,-0.95,-80.7333,80.53,10.85
Zlobin,20,HR,1618515807,43,45.2924,14.6541,48.2,3.44
Lahaina,20,US,1618515808,61,20.8783,-156.6825,78.8,16.11
Muravlenko,53,RU,1618515808,92,63.7898,74.523,25.97,16.75
Alice Springs,90,AU,1618515729,63,-23.7,133.8833,60.8,6.91
Bambous Virieux,75,MU,1618515809,94,-20.3428,57.7575,78.01,8.05
Kernersville,75,US,1618515809,39,36.1199,-80.0736,66.0,12.66
Qaqortoq,75,GL,1618515809,44,60.7167,-46.0333,35.6,14.97
Noumea,75,NC,1618515810,100,-22.2763,166.4572,77.0,3.44
Geraldton,2,AU,1618515570,52,-28.7667,114.6,64.4,17.27
Rawson,0,AR,1618515652,28,-43.3002,-65.1023,67.48,6.46
Bollnäs,20,SE,1618515810,77,61.3482,16.3946,34.0,3.33
Vuktyl,71,RU,1618515811,77,63.8567,57.3094,25.9,9.98
Manokwari,100,ID,1618515811,74,-0.8667,134.0833,78.85,4.09
Zarya,0,RU,1618515811,62,55.7553,38.0958,55.0,15.66
Palmas,40,BR,1618515666,70,-10.2128,-48.3603,86.0,8.05
Pangkalanbuun,76,ID,1618515812,98,-2.6833,111.6167,72.86,0.49
Vanavara,100,RU,1618515812,95,60.34,102.2797,29.71,16.51
Chokurdakh,65,RU,1618515812,100,70.6333,147.9167,-20.85,1.28
Touros,40,BR,1618515798,74,-5.1989,-35.4608,84.2,12.66
Oneonta,100,US,1618515674,85,42.4529,-75.0638,42.01,5.48
Nizhniy Kuranakh,76,RU,1618515813,93,58.8353,125.4869,17.44,5.28
Soyo,100,AO,1618515813,82,-6.1349,12.3689,80.55,3.56
Severo-Yeniseyskiy,100,RU,1618515813,97,60.3725,93.0408,34.2,19.1
Rodolfo Sánchez Taboada,86,MX,1618515814,37,31.7167,-116.5667,64.99,8.99
Atambua,100,ID,1618515814,82,-9.1061,124.8925,69.49,3.94
Quthing,13,LS,1618515814,41,-30.4,27.7003,59.29,4.65
Vanimo,83,PG,1618515815,89,-2.6741,141.3028,76.6,4.12
Vila Velha,0,BR,1618515815,65,-20.3297,-40.2925,78.8,12.66
Te Anau,99,NZ,1618515815,94,-45.4167,167.7167,49.87,4.99
Alice Town,68,BS,1618515816,66,25.7167,-79.3,73.87,9.8
Zyryanovsk,100,KZ,1618515816,98,49.7386,84.2719,32.67,0.96
Kysyl-Syr,100,RU,1618515817,97,63.8986,122.7617,13.15,4.09
Tsimmerbude,90,RU,1618515817,57,54.675,20.1347,48.2,15.66
West Wendover,75,US,1618515817,46,40.7391,-114.0733,48.2,10.36
Santa Marta,71,CO,1618515818,71,11.2408,-74.199,85.14,15.59
Mayo,75,US,1618515818,45,38.8876,-76.5119,64.4,11.5
Iskateley,20,RU,1618515818,88,67.6803,53.1512,19.31,11.92
Isangel,10,VU,1618515819,85,-19.55,169.2667,79.16,5.41
Orguz,3,BA,1618515819,75,43.7739,16.8639,23.0,17.0
Hambantota,40,LK,1618515819,100,6.1241,81.1185,77.0,2.3
Luga,99,RU,1618515820,71,58.7372,29.8453,39.18,10.16
