City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Port Elizabeth,0,ZA,1618716433,93,-33.918,25.5701,50.0,2.3
Mount Isa,0,AU,1618716286,26,-20.7333,139.5,82.4,12.66
Barrow,1,US,1618716490,75,71.2906,-156.7887,33.8,12.66
Nuevo Ideal,0,MX,1618716491,25,24.8875,-105.0728,58.57,7.43
Kapaa,75,US,1618716491,56,22.0752,-159.319,73.4,11.5
Lagoa,39,PT,1618716491,89,39.05,-27.9833,60.87,19.22
Vaini,40,TO,1618716424,69,-21.2,-175.2,78.8,3.44
Klaksvík,100,FO,1618716492,100,62.2266,-6.589,44.6,25.32
Mandalgovi,8,MN,1618716375,14,45.7625,106.2708,56.48,13.53
Upernavik,100,GL,1618716492,87,72.7868,-56.1549,4.75,7.05
Ponta do Sol,65,PT,1618716493,83,32.6667,-17.1,57.0,5.99
Kyshtovka,100,RU,1618716493,96,56.555,76.6271,35.04,5.06
Kruisfontein,0,ZA,1618716493,26,-34.0033,24.7314,62.35,5.44
Panama City,90,PA,1618716287,89,8.9936,-79.5197,78.8,4.61
Kanniyākumāri,100,IN,1618716494,74,8.0833,77.5667,84.33,9.24
Bengkulu,98,ID,1618716346,69,-3.8004,102.2655,81.27,1.39
George Town,40,MY,1618716248,70,5.4112,100.3354,89.01,3.44
Maceió,75,BR,1618716494,100,-9.6658,-35.7353,73.4,3.44
Sayán,62,PE,1618716495,75,-11.1361,-77.1933,72.39,1.86
Kyra,42,RU,1618716495,45,49.5776,111.9753,49.32,24.29
Maniitsoq,14,GL,1618716495,75,65.4167,-52.9,5.99,16.87
Vao,44,NC,1618716496,79,-22.6667,167.4833,74.37,17.16
Neuquén,0,AR,1618716496,71,-38.9516,-68.0591,55.4,2.3
Cherskiy,100,RU,1618716496,71,68.75,161.3,29.62,29.04
Jamestown,90,US,1618716497,87,42.097,-79.2353,39.2,5.75
Longyearbyen,40,SJ,1618716332,80,78.2186,15.6401,28.4,3.44
Kathmandu,20,NP,1618716200,59,27.7167,85.3167,66.2,2.04
Khovd,1,MN,1618716497,28,48.0056,91.6419,51.69,5.73
Ode,100,NG,1618716498,95,7.7899,5.7117,71.44,5.03
Ladário,36,BR,1618716498,68,-19.0047,-57.6017,76.48,2.08
Hobart,75,AU,1618716456,48,-42.8794,147.3294,63.0,17.27
Geraldton,0,AU,1618716465,23,-28.7667,114.6,84.2,9.22
Airai,75,TL,1618716499,58,-8.9266,125.4092,72.21,4.34
Floriano,78,BR,1618716313,85,-6.7669,-43.0225,74.86,2.95
Donskoye,90,RU,1618716499,100,45.4552,41.9741,44.6,11.18
Wainwright,100,CA,1618716499,65,52.839,-110.8572,50.0,16.11
Madison,1,US,1618716447,66,34.7334,-86.5667,55.0,3.44
Dunedin,98,NZ,1618716500,53,-45.8742,170.5036,62.01,1.01
Palotina,64,BR,1618716500,56,-24.2839,-53.84,72.0,4.63
Cidreira,100,BR,1618716501,86,-30.1811,-50.2056,69.78,6.11
Saldanha,0,ZA,1618716501,39,-33.0117,17.9442,62.6,1.14
Acarí,7,PE,1618716421,75,-15.4311,-74.6158,72.3,3.13
Norman Wells,75,CA,1618716502,52,65.282,-126.8329,42.8,6.91
Vestmannaeyjar,100,IS,1618716502,63,63.4427,-20.2734,39.56,22.64
Kavieng,55,PG,1618716502,73,-2.5744,150.7967,83.55,9.98
Flinders,30,AU,1618716503,62,-34.5833,150.8552,71.01,4.0
Beringovskiy,100,RU,1618716483,99,63.05,179.3167,32.38,10.42
Bonfim,75,BR,1618716503,68,3.0833,-59.95,78.73,8.84
Wanning,46,CN,1618716503,68,18.8003,110.3967,82.24,7.52
Thompson,90,CA,1618716393,74,55.7435,-97.8558,26.6,14.97
Hobyo,33,SO,1618716504,68,5.3505,48.5268,82.96,9.33
Sim,0,RU,1618716504,70,54.993,57.6982,40.57,1.7
Faya,40,SA,1618716504,82,18.3851,42.4509,53.6,4.61
Alice Springs,0,AU,1618716305,24,-23.7,133.8833,73.99,17.27
Fare,15,PF,1618716505,72,-16.7,-151.0167,82.38,7.9
Severo-Kuril'sk,100,RU,1618716505,62,50.6789,156.125,38.03,8.43
Tarauacá,100,BR,1618716506,95,-8.1614,-70.7656,71.76,2.21
Dikson,50,RU,1618716268,96,73.5069,80.5464,-6.03,3.85
Castro,4,BR,1618716422,95,-24.7911,-50.0119,56.44,2.66
Majene,84,ID,1618716506,66,-3.5403,118.9707,85.17,6.11
Cañar,95,EC,1618716507,88,-2.55,-78.9333,55.4,4.59
Benjamín Hill,0,MX,1618716507,18,30.1667,-111.1,73.99,3.0
Saint-Joseph,90,RE,1618716507,94,-21.3667,55.6167,71.6,8.05
Wairoa,1,NZ,1618716508,45,-39.0333,177.3667,68.0,5.99
Mwinilunga,95,ZM,1618716508,73,-11.7358,24.4293,59.92,9.19
Kampot,40,KH,1618716508,66,10.6167,104.1833,87.8,4.61
Senador Guiomard,20,BR,1618716509,100,-10.1522,-67.7392,73.4,1.14
Port Alfred,4,ZA,1618716509,40,-33.5906,26.891,65.88,8.34
Jixi,48,CN,1618716509,43,45.3,130.9667,53.13,13.4
Strezhevoy,0,RU,1618716472,72,60.7333,77.5889,10.4,8.95
Puerto Ayora,60,EC,1618716472,100,-0.7393,-90.3518,75.0,3.13
Rongcheng,100,CN,1618716510,38,30.634,117.8517,66.85,5.91
Ancud,40,CL,1618716511,87,-41.8697,-73.8203,53.6,10.36
Codrington,82,AU,1618716511,61,-38.2667,141.9667,64.42,12.41
Asău,77,RO,1618716511,56,46.4333,26.4,42.01,2.89
Brae,2,GB,1618716512,75,60.3964,-1.353,42.8,18.41
Saskylakh,100,RU,1618716492,89,71.9167,114.0833,10.92,13.09
Grajaú,100,BR,1618716512,96,-5.8194,-46.1386,72.63,1.52
Sørland,98,NO,1618716513,70,67.667,12.6934,41.49,10.27
Touros,40,BR,1618716513,94,-5.1989,-35.4608,75.2,3.44
Kulhudhuffushi,99,MV,1618716513,72,6.6221,73.07,83.73,7.09
Glendive,1,US,1618716514,39,47.1053,-104.7125,46.99,5.75
Carnarvon,25,AU,1618716514,42,-24.8667,113.6333,81.34,3.69
Satipo,100,PE,1618716378,95,-11.2522,-74.6386,69.76,2.08
Oskaloosa,1,US,1618716286,37,41.2964,-92.6444,51.8,4.61
Loa Janan,100,ID,1618716515,72,-0.583,117.095,83.16,4.07
Roald,0,NO,1618716515,56,62.5833,6.1333,41.0,10.36
Hwange,5,ZW,1618716515,72,-18.3693,26.5019,57.11,4.34
Te Anau,84,NZ,1618716516,72,-45.4167,167.7167,56.43,8.12
Marsh Harbour,7,BS,1618716516,79,26.5412,-77.0636,76.55,7.25
Province of Mantua,100,IT,1618716516,69,45.1667,10.7833,48.0,5.99
Tabas,100,IR,1618716517,20,33.5959,56.9244,72.25,1.28
Wangqing,53,CN,1618716517,35,43.3218,129.7634,54.48,12.64
Clyde River,90,CA,1618716518,92,70.4692,-68.5914,5.0,9.22
San Jose,1,US,1618716446,59,37.3394,-121.895,63.0,6.91
Mandan,1,US,1618716225,48,46.8267,-100.8896,48.99,6.91
Khatanga,100,RU,1618716518,90,71.9667,102.5,2.17,13.47
Souillac,40,MU,1618716518,88,-20.5167,57.5167,77.0,9.78
Almaznyy,0,RU,1618716515,93,48.0448,40.045,37.4,4.47
Catalina,0,US,1618716519,14,32.5056,-110.9211,71.01,7.52
Virginia Beach,75,US,1618716285,62,36.8529,-75.978,55.4,6.91
Gabú,84,GW,1618716520,76,12.2833,-14.2167,74.88,6.67
Kahului,40,US,1618716520,73,20.8947,-156.47,75.2,16.11
Muswellbrook,36,AU,1618716520,57,-32.2667,150.9,66.11,3.11
Krasnosel'kup,34,RU,1618716521,90,65.7,82.4667,-2.25,14.65
Coyhaique,100,CL,1618716521,91,-45.5752,-72.0662,49.75,2.98
Chegdomyn,41,RU,1618716287,54,51.1167,133.0167,50.54,3.33
Jalu,16,LY,1618716521,24,29.0331,21.5482,77.2,9.35
Byron Bay,40,AU,1618716522,60,-28.65,153.6167,71.6,19.57
Meïganga,100,CM,1618716522,93,6.5167,14.3,66.78,4.65
Belozërskoye,75,RU,1618716522,63,55.8214,65.5842,43.59,13.42
Iqaluit,75,CA,1618716523,73,63.7506,-68.5145,12.2,3.44
Kaitong,4,CN,1618716523,16,44.8135,123.15,57.79,12.41
Terenos,0,BR,1618716523,88,-20.4422,-54.8603,68.0,3.44
Wentzville,17,US,1618716249,77,38.8114,-90.8529,50.0,5.46
Pacific Grove,40,US,1618716524,76,36.6177,-121.9166,54.0,6.91
Comodoro Rivadavia,0,AR,1618716499,76,-45.8667,-67.5,51.8,7.11
Alnashi,2,RU,1618716524,74,56.1874,52.4792,39.87,5.3
Djebeniana,40,TN,1618716525,76,35.035,10.9081,51.8,10.65
Morondava,0,MG,1618716525,61,-20.2833,44.2833,68.14,10.22
Atasū,66,KZ,1618716525,46,48.6814,71.6433,55.74,4.7
Vostok,4,RU,1618716526,36,46.4856,135.8833,51.39,7.81
Hailun,0,CN,1618716526,37,47.45,126.9333,52.61,8.7
Puerto Escondido,4,MX,1618716526,67,15.85,-97.0667,79.34,9.17
Vardø,50,NO,1618716527,90,70.3705,31.1107,34.5,13.56
Fortuna,90,US,1618716527,100,40.5982,-124.1573,48.99,8.05
Portland,1,US,1618715896,23,45.5234,-122.6762,78.8,4.61
Gamay,100,PH,1618716527,95,12.3854,125.2979,77.34,26.4
Saint Paul Harbor,90,US,1618716237,81,57.79,-152.4072,42.8,4.16
Mitsamiouli,35,KM,1618716528,77,-11.3847,43.2844,80.46,15.95
Mandera,42,KE,1618716528,72,3.9366,41.867,78.87,7.65
Bayan,7,CN,1618716529,39,46.0833,127.4,53.78,7.52
Pleasanton,0,US,1618716370,70,37.6624,-121.8747,62.01,1.99
Kamenka,1,RU,1618716529,85,51.3223,42.7678,41.9,4.05
Qurayyat,0,SA,1618716530,34,31.3318,37.3428,62.6,2.48
Makakilo City,40,US,1618716441,57,21.3469,-158.0858,78.8,9.22
Hong Kong,0,HK,1618716391,44,22.2855,114.1577,78.8,26.46
Isla Mujeres,40,MX,1618716530,83,21.2311,-86.731,81.0,10.36
Sapa,80,PH,1618716531,70,5.1544,120.3241,85.14,17.65
Aklavik,100,CA,1618716531,42,68.2191,-135.0107,42.8,6.91
Ahipara,100,NZ,1618716531,56,-35.1667,173.1667,62.31,6.24
Lata,100,PT,1618716532,88,40.1629,-8.3327,55.99,1.99
Plettenberg Bay,0,ZA,1618716532,37,-34.0527,23.3716,66.87,4.09
Lufilufi,75,WS,1618716532,89,-13.8745,-171.5986,82.4,4.61
Narsaq,20,GL,1618716533,42,60.9167,-46.05,21.2,5.7
Bethalto,90,US,1618716533,93,38.9092,-90.0407,52.0,4.61
Kadoshkino,100,RU,1618716533,76,54.0257,44.4191,44.46,6.46
Eureka,4,US,1618716534,92,40.8021,-124.1637,48.99,3.49
Hīt,2,IQ,1618716534,20,33.6416,42.8251,74.26,5.79
Nanortalik,0,GL,1618716343,53,60.1432,-45.2371,25.16,25.41
Stephenville,90,US,1618716534,71,32.2207,-98.2023,51.8,3.44
Honningsvåg,85,NO,1618716535,79,70.9821,25.9704,35.67,19.71
Sosnovo-Ozerskoye,94,RU,1618716535,40,52.5249,111.5418,35.69,20.87
Kodinsk,93,RU,1618716535,63,58.6881,99.1844,27.5,8.9
Mogadishu,24,SO,1618716536,71,2.0371,45.3438,82.78,8.23
Ust-Kuyga,100,RU,1618716536,86,70.0167,135.6,16.36,7.47
Williams Lake,1,CA,1618716403,27,52.1415,-122.1445,64.4,3.44
North Bend,90,US,1618716537,100,43.4065,-124.2243,48.99,2.24
Mar del Plata,75,AR,1618716537,100,-38.0023,-57.5575,66.99,8.05
Camacha,40,PT,1618716537,77,33.0833,-16.3333,60.8,10.36
Ferma,0,RU,1618716538,56,57.9016,56.3064,41.0,8.95
Zhigansk,100,RU,1618716538,85,66.7697,123.3711,16.77,13.33
Faanui,41,PF,1618716538,72,-16.4833,-151.75,82.38,7.02
Desert Hot Springs,1,US,1618716493,10,33.9611,-116.5017,82.4,9.22
Esperance,0,AU,1618716539,46,-33.8667,121.9,71.6,4.61
Tabou,89,CI,1618716539,87,4.423,-7.3528,76.78,2.86
Wichita Falls,1,US,1618716540,58,33.9137,-98.4934,51.8,4.61
Northam,100,GB,1618716540,1,51.0333,-4.2167,41.0,1.99
Truro,100,GB,1618716540,75,50.2653,-5.0544,41.0,5.75
Taketa,13,JP,1618716541,56,32.9652,131.3785,53.01,11.01
Pemba,20,MZ,1618716541,88,-12.974,40.5178,71.6,11.5
Poum,16,NC,1618716541,72,-20.2333,164.0167,79.97,14.99
Hasaki,20,JP,1618716542,37,35.7333,140.8333,68.0,18.41
Lompoc,8,US,1618716542,82,34.6391,-120.4579,51.8,10.36
Belle Fourche,75,US,1618716542,64,44.6714,-103.8522,41.0,5.75
Riofrío,98,CO,1618716543,74,4.1571,-76.2885,64.99,1.5
Sept-Îles,7,CA,1618716543,80,50.2001,-66.3821,32.0,5.75
Emerald,0,AU,1618716543,39,-23.5333,148.1667,82.0,6.91
Porbandar,19,IN,1618716312,100,21.6422,69.6093,77.0,5.91
Bonthe,100,SL,1618716544,84,7.5264,-12.505,78.26,4.56
Isangel,75,VU,1618716544,78,-19.55,169.2667,82.4,12.66
Baharly,3,TM,1618716545,32,38.4362,57.4316,69.39,5.28
Princeton,1,US,1618716545,78,25.5384,-80.4089,75.0,3.44
São João da Barra,100,BR,1618716545,82,-21.6403,-41.0511,75.51,13.82
Madison Heights,75,US,1618716546,66,42.4859,-83.1052,48.99,2.08
Bambous Virieux,40,MU,1618716546,88,-20.3428,57.7575,77.0,8.72
Vysha,100,RU,1618716546,93,53.8477,42.3777,45.14,0.43
Lindsay,1,US,1618716547,33,36.203,-119.0882,71.6,6.91
Khingansk,15,RU,1618716547,51,49.1167,131.1833,48.94,5.39
Muisne,97,EC,1618716547,83,0.6,-80.0333,76.62,2.15
Leh,99,IN,1618716548,73,34.1667,77.5833,35.2,5.44
Yatou,0,CN,1618716548,28,37.15,122.3833,60.3,5.44
Kysyl-Syr,100,RU,1618716548,85,63.8986,122.7617,17.08,12.15
Kiama,27,AU,1618716549,62,-34.6833,150.8667,71.01,4.0
Henties Bay,88,NA,1618716549,45,-22.116,14.2845,76.57,5.59
Coolum Beach,71,AU,1618716549,77,-26.5333,153.1,72.0,10.6
Beeville,90,US,1618716550,55,28.4008,-97.7483,62.6,11.5
Seymchan,100,RU,1618716550,76,62.8833,152.4333,32.04,17.96
São Sebastião,100,BR,1618716550,84,-23.76,-45.4097,72.43,2.62
Mweka,100,CD,1618716551,98,-4.85,21.5667,68.58,2.55
Sarangani,69,PH,1618716551,78,5.4033,125.4636,83.71,23.38
Ogbomosho,100,NG,1618716551,88,8.133,4.25,74.84,5.57
Aktau,0,KZ,1618716487,51,43.65,51.2,59.0,11.18
Gibraleón,87,ES,1618716552,63,37.3763,-6.969,55.0,1.99
Santa Fe,0,AR,1618716552,75,-31.6333,-60.7,71.01,8.01
Palmer,90,US,1618716509,81,42.1584,-72.3287,41.0,1.32
Kharan,58,PK,1618716553,16,28.5833,65.4167,79.34,3.8
Noumea,20,NC,1618716553,58,-22.2763,166.4572,86.0,9.22
Sur,79,OM,1618716553,48,22.5667,59.5289,83.89,3.36
Garden City,20,US,1618716405,71,42.3256,-83.331,48.2,3.36
Songea,97,TZ,1618716554,97,-10.6833,35.65,59.61,4.56
Mūl,5,IN,1618716554,25,20.0667,79.6667,93.69,6.58
Bilma,100,NE,1618716555,8,18.6853,12.9164,84.6,6.38
Devonport,43,AU,1618716555,70,-41.1667,146.35,63.0,3.0
Pekan,20,MY,1618716555,74,3.4836,103.3996,86.0,2.3
Champerico,86,GT,1618716556,96,14.3,-91.9167,70.0,8.48
Turukhansk,86,RU,1618716556,79,65.8167,87.9833,9.05,8.34
Anadyr,90,RU,1618716555,93,64.75,177.4833,26.6,11.18
Kuznechnoye,7,RU,1618716556,90,61.12,29.8686,37.99,5.03
Kaili,74,ID,1618716557,78,-3.4626,120.2147,76.08,3.67
Sangar,100,RU,1618716514,82,63.9242,127.4739,18.75,8.28
Yeppoon,40,AU,1618716557,39,-23.1333,150.7333,84.2,5.75
Zhuhai,0,CN,1618716557,65,22.2769,113.5678,82.99,17.27
Gumdag,0,TM,1618716558,29,39.2061,54.5906,69.51,9.62
Richards Bay,0,ZA,1618716558,78,-28.783,32.0377,59.05,8.63
Gemena,99,CD,1618716558,95,3.25,19.7667,70.57,1.59
Ambulu,64,ID,1618716559,67,-8.345,113.6058,84.42,3.91
Sokoni,40,TZ,1618716559,89,-6.4333,39.55,78.8,16.11
Chapais,75,CA,1618716532,70,49.7834,-74.8492,37.4,2.3
Acapulco de Juárez,0,MX,1618716477,70,16.8634,-99.8901,77.58,8.48
Moindou,20,NC,1618716560,58,-21.6924,165.677,86.0,9.22
Borgarnes,100,IS,1618716560,81,64.5383,-21.9206,35.01,3.0
Liverpool,100,GB,1618716547,87,53.4106,-2.9779,43.0,3.02
Dudinka,62,RU,1618716561,94,69.4058,86.1778,-12.51,6.44
Srednekolymsk,34,RU,1618716561,84,67.45,153.6833,33.1,17.36
Lorengau,81,PG,1618716561,66,-2.0226,147.2712,84.69,5.77
Selty,9,RU,1618716562,80,57.3132,52.1345,38.07,4.09
Alta Floresta,100,BR,1618716562,97,-9.8756,-56.0861,69.69,3.27
Karratha,0,AU,1618716562,37,-20.7377,116.8463,88.99,16.22
Japura,91,ID,1618716563,62,-0.3167,102.35,84.83,3.98
Xinyu,100,CN,1618716563,71,27.8043,114.9334,61.0,6.93
Paracatu,8,BR,1618716563,61,-17.2222,-46.8747,66.34,2.21
Pudozh,7,RU,1618716564,90,61.8099,36.5345,32.74,4.76
Guhāgar,0,IN,1618716564,55,17.4842,73.1929,85.53,4.79
Sittwe,0,MM,1618716564,51,20.15,92.9,84.65,2.46
Swift Current,1,CA,1618716303,31,50.2834,-107.8014,48.2,13.8
Campina Verde,65,BR,1618716565,92,-19.5356,-49.4864,65.62,4.38
Praia,20,CV,1618716565,78,14.9215,-23.5087,69.8,17.27
Villarrobledo,0,ES,1618716566,80,39.2699,-2.6012,37.99,1.99
Tuatapere,82,NZ,1618716566,76,-46.1333,167.6833,57.99,15.99
Tchibanga,100,GA,1618716566,95,-2.85,11.0333,70.93,1.92
Umluj,0,SA,1618716567,60,25.0213,37.2685,78.96,7.47
Yar-Sale,60,RU,1618716567,95,66.8333,70.8333,0.28,10.83
Alyangula,97,AU,1618716508,51,-13.8483,136.4192,87.8,9.22
Itoman,20,JP,1618716567,49,26.1247,127.6694,69.8,25.32
Sola,75,VU,1618716568,84,-13.8833,167.55,86.0,3.44
Cap Malheureux,58,MU,1618716544,83,-19.9842,57.6142,77.0,3.0
Yarmouth,90,US,1618716568,87,41.7057,-70.2286,43.0,4.76
Ekhabi,96,RU,1618716568,96,53.5102,142.9671,36.79,3.98
Uyemskiy,0,RU,1618716569,80,64.4743,40.8524,30.2,4.47
Belyy Yar,0,RU,1618716569,51,53.6039,91.3903,32.0,4.47
Paso de Carrasco,0,UY,1618716569,94,-34.8603,-56.0522,64.0,4.61
Vanimo,96,PG,1618716570,71,-2.6741,141.3028,84.25,5.95
Lüderitz,6,NA,1618716570,39,-26.6481,15.1594,76.53,6.15
Peniche,100,PT,1618716570,92,39.3558,-9.3811,55.0,1.99
Pangkalanbuun,98,ID,1618716571,59,-2.6833,111.6167,87.66,2.37
Bowen,90,AU,1618716571,65,-20.0167,148.2333,80.6,16.11
Benicarló,0,ES,1618716571,62,40.4165,0.4271,42.01,14.0
Vila Velha,75,BR,1618716338,100,-20.3297,-40.2925,69.8,3.44
Takoradze,100,GH,1618716572,83,4.8845,-1.7554,79.45,5.61
Beverley,75,GB,1618716572,100,53.8459,-0.4233,37.0,2.08
Fukuechō,20,JP,1618716573,54,32.6881,128.8419,57.2,18.41
Ostrovnoy,100,RU,1618716573,78,68.0531,39.5131,28.29,8.39
Kabare,100,CD,1618716365,97,-2.4683,28.8242,61.05,2.57
Mahébourg,40,MU,1618716573,88,-20.4081,57.7,77.0,8.79
Petropavlivka,100,UA,1618716574,76,48.4564,36.4367,45.19,5.28
Hurghada,0,EG,1618716574,20,27.2574,33.8129,73.4,3.44
Lodwar,100,KE,1618716574,53,3.1191,35.5973,82.45,11.99
Mhlume,2,SZ,1618716575,93,-26.0333,31.85,53.01,3.02
Kuty,54,UA,1618716575,95,48.2587,25.1795,35.24,2.68
Rosario,0,AR,1618716575,88,-32.9468,-60.6393,66.99,2.3
Macusani,45,PE,1618716576,91,-14.0833,-70.4333,33.13,2.55
Sulangan,100,PH,1618716576,72,11.1373,123.7228,82.56,24.34
Nanning,90,CN,1618716576,94,22.8167,108.3167,66.2,4.47
Kalmunai,100,LK,1618716577,72,7.4167,81.8167,82.31,4.32
Dingle,100,PH,1618716577,48,10.9995,122.6711,88.25,15.03
Kapit,100,MY,1618716577,97,2.0167,112.9333,75.09,0.94
Padang,99,ID,1618716298,64,-0.9492,100.3543,83.62,1.1
Veinticinco de Mayo,1,AR,1618716578,63,-35.4323,-60.1727,63.0,3.0
Kushmurun,50,KZ,1618716578,70,52.4503,64.6311,51.37,8.72
Ust-Tsilma,82,RU,1618716579,75,65.441,52.1498,19.2,6.87
Sharjah city,0,AE,1618716579,64,25.3573,55.4033,73.4,6.91
Quatre Cocos,40,MU,1618716393,88,-20.2078,57.7625,77.0,8.28
Coquimbo,90,CL,1618716579,88,-29.9533,-71.3436,57.2,2.3
Brodnica,100,PL,1618716580,97,53.2597,19.3965,44.01,6.76
Isla Vista,1,US,1618716580,59,34.4133,-119.861,64.99,4.61
Bocas del Toro,100,PA,1618716384,97,9.3333,-82.25,63.0,1.99
San Juan de Flores,75,HN,1618716581,83,14.2667,-87.0333,71.6,4.61
Walvis Bay,80,NA,1618716581,30,-22.9575,14.5053,84.2,9.22
Hofn,100,IS,1618716488,99,64.2539,-15.2082,43.97,15.57
